time,surface,analytic
0.9750000000000001,0.05358504911152723,0.05358504911152723
1.0,0.06359612029984872,0.06359612029984872
1.0250000000000001,0.07343287894294052,0.07343287894294052
1.05,0.08306836316910647,0.08306836316910647
1.075,0.092476162785837,0.092476162785837
1.1,0.10163049166831091,0.10163049166831091
1.125,0.11050625843737079,0.11050625843737079
1.1500000000000001,0.11907913523324974,0.11907913523324974
1.175,0.1273256243965434,0.1273256243965434
1.2000000000000002,0.13522312287366195,0.13522312287366195
1.225,0.14274998417022774,0.14274998417022774
1.25,0.14988557768261265,0.14988557768261265
1.2750000000000001,0.15661034524498837,0.15661034524498837
1.3,0.16290585473689914,0.16290585473689914
1.3250000000000002,0.16875485060442325,0.16875485060442325
1.35,0.17414130115644644,0.17414130115644644
1.375,0.17905044250641322,0.17905044250641322
1.4000000000000001,0.1834688190391136,0.1834688190391136
1.425,0.18738432029158902,0.18738432029158902
1.4500000000000002,0.19078621414706964,0.19078621414706964
1.475,0.19366517625096025,0.19366517625096025
1.5,0.19601331556824833,0.19601331556824833
1.5250000000000001,0.19782419601228235,0.19782419601228235
1.55,0.19909285408563798,0.19909285408563798
1.5750000000000002,0.19981581248471947,0.19981581248471947
1.6,0.19999108963080722,0.19999108963080722
1.625,0.19961820510142708,0.19961820510142708
1.6500000000000001,0.19869818094715527,0.19869818094715527
1.675,0.19723353889024853,0.19723353889024853
1.7000000000000002,0.19522829341277875,0.19522829341277875
1.725,0.1926879407532169,0.1926879407532169
1.75,0.189619443841625,0.189619443841625
1.7750000000000001,0.18603121321474914,0.18603121321474914
1.8,0.18193308396332275,0.18193308396332275
1.8250000000000002,0.17733628877476648,0.17733628877476648
1.85,0.17225342714517297,0.17225342714517297
1.875,0.16669843084496339,0.16669843084496339
1.9000000000000001,0.1606865257328736,0.1606865257328736
1.925,0.15423419002293348,0.15423419002293348
1.9500000000000002,0.14735910911882757,0.14735910911882757
1.975,0.14008012713943302,0.14008012713943302
2.0,0.13241719526839968,0.13241719526839968
2.025,0.12439131706934206,0.12439131706934206
2.0500000000000003,0.11602449091653151,0.11602449091653151
2.075,0.10733964969888253,0.10733964969888253
2.1,0.09836059796249633,0.09836059796249633
2.125,0.08911194666405642,0.08911194666405642
2.15,0.07961904571390564,0.07961904571390564
2.1750000000000003,0.06990791449370505,0.06990791449370505
2.2,0.06000517053911678,0.06000517053911678
2.225,0.04993795658298922,0.04993795658298922
2.25,0.03973386615901232,0.03973386615901232
2.275,0.029420867969760907,0.029420867969760907
2.3000000000000003,0.019027229226423494,0.019027229226423494
2.325,0.00858143817034329,0.00858143817034329
2.35,-0.0018878740112733675,-0.0018878740112733675
2.375,-0.012352011661449816,-0.012352011661449816
2.4000000000000004,-0.022782293306240035,-0.022782293306240035
2.4250000000000003,-0.033150130268655646,-0.033150130268655646
2.45,-0.043427105028241986,-0.043427105028241986
2.475,-0.053585049111527165,-0.053585049111527165
2.5,-0.06359612029984855,-0.06359612029984855
2.5250000000000004,-0.07343287894294052,-0.07343287894294052
2.5500000000000003,-0.0830683631691064,-0.0830683631691064
2.575,-0.09247616278583705,-0.09247616278583705
2.6,-0.10163049166831083,-0.10163049166831083
2.625,-0.11050625843737077,-0.11050625843737077
2.6500000000000004,-0.11907913523324971,-0.11907913523324971
