time,n,e,d,u,v,w,p,q,r,max_penetration
23.04,3.3476495359282685,0.017353973303506656,1.1835205339298416,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.06,3.3496495359282683,0.017353973303506656,1.1837205339298416,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.080000000000002,3.351649535928268,0.017353973303506656,1.1839205339298415,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.1,3.353649535928268,0.017353973303506656,1.1841205339298415,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.12,3.3556495359282676,0.017353973303506656,1.1843205339298415,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.14,3.3576495359282674,0.017353973303506656,1.1845205339298415,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.16,3.359649535928267,0.017353973303506656,1.1847205339298414,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.18,3.361649535928267,0.017353973303506656,1.1849205339298414,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.2,3.3636495359282668,0.017353973303506656,1.1851205339298414,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.22,3.3656495359282665,0.017353973303506656,1.1853205339298414,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.240000000000002,3.3676495359282663,0.017353973303506656,1.1855205339298414,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.26,3.369649535928266,0.017353973303506656,1.1857205339298413,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.28,3.371649535928266,0.017353973303506656,1.1859205339298413,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.3,3.3736495359282657,0.017353973303506656,1.1861205339298413,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.32,3.3756495359282654,0.017353973303506656,1.1863205339298413,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.34,3.3776495359282652,0.017353973303506656,1.1865205339298412,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.36,3.379649535928265,0.017353973303506656,1.1867205339298412,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.38,3.381649535928265,0.017353973303506656,1.1869205339298412,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.400000000000002,3.3836495359282646,0.017353973303506656,1.1871205339298412,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.42,3.3856495359282643,0.017353973303506656,1.1873205339298412,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.44,3.387649535928264,0.017353973303506656,1.1875205339298411,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
